V002,V024,V025,V106,V190,V201,V212,V221,V228,V312,V360,V384B,V457,V463X,V701,M18,S720,Zone
14,7,2,3,1,1,27,31,0,5,2,1,4,0,3,0.5,0,Northern Zone
21,7,1,3,1,2,20,14,0,8,2,1,3,0,3,0.5,0,Northern Zone
92,7,1,1,1,2,18,8,0,5,1,1,3,0,2,0.75,0,Northern Zone
46,7,1,2,1,2,23,14,0,5,2,1,4,0,2,0.5,0,Northern Zone
1,7,1,3,1,1,21,10,0,5,2,1,2,0,3,0.5,0,Northern Zone
30,7,1,0,1,3,16,996,1,5,1,1,4,0,2,0.5,0,Northern Zone
50,7,1,2,0.75,2,21,24,0,0,2,1,2,0,2,0.5,0,Northern Zone
6,7,1,0,0.5,2,19,21,0,0,1,1,4,0,2,0.5,0,Northern Zone
52,7,1,3,1,2,31,11,0,0,7,0,4,0,3,0.5,0,Northern Zone
4,7,1,2,1,2,27,62,0,0,4,0,2,0,2,0.5,0,Northern Zone
53,7,1,1,1,4,16,13,0,5,7,1,4,0,2,0.5,0,Northern Zone
67,7,1,2,1,2,20,13,1,0,2,0,2,0,2,0.5,0,Northern Zone
45,7,2,1,0.25,1,23,25,0,0,2,0,2,0,2,0.75,0,Northern Zone
35,8,2,2,0.25,3,20,29,0,0,1,1,4,0,2,0.5,0,Northern Zone
31,8,2,2,1,2,20,32,1,0,2,1,2,0,2,0.5,0,Northern Zone
64,8,2,1,0.5,3,21,5,0,6,7,0,3,0,3,0.5,0,Northern Zone
71,8,2,0,0.25,2,20,25,0,1,2,1,3,0,1,0.5,0,Northern Zone
1,8,2,0,0.5,4,25,58,0,6,9,0,2,0,2,0.5,0,Northern Zone
67,8,2,2,0.25,1,28,19,0,5,3,0,2,0,2,0.5,0,Northern Zone
31,8,2,3,1,1,26,58,1,0,2,1,4,0,3,0.5,0,Northern Zone
7,8,2,2,0.75,2,22,26,0,9,2,1,4,0,2,0.25,0,Northern Zone
59,8,2,2,0.5,3,17,9,0,1,7,1,3,0,2,0.5,0,Northern Zone
87,8,2,2,0.75,3,22,27,0,8,3,0,4,0,3,0.5,0,Northern Zone
1,8,2,0,0.5,1,30,55,0,8,2,0,2,0,0,0.5,0,Northern Zone
28,8,2,2,1,3,23,34,0,6,14,1,3,0,2,0.5,0,Northern Zone
57,8,2,1,0.5,2,21,37,1,6,18,0,4,0,2,0.5,0,Northern Zone
79,8,2,3,1,1,24,20,0,0,2,1,4,0,3,0.5,0,Northern Zone
